8/2010, 185
9/2010, 281
10/2010, 362
11/2010, 509
12/2010, 500
1/2011, 451
2/2011, 206
3/2011, 474
4/2011, 579
5/2011, 843
6/2011, 789
7/2011, 580
8/2011, 726
9/2011, 1097
10/2011, 398
11/2011, 453
12/2011, 322
1/2012, 387
2/2012, 474
3/2012, 652
4/2012, 486
5/2012, 1012
6/2012, 1165
7/2012, 661
8/2012, 679
9/2012, 498
10/2012, 416
11/2012, 407
12/2012, 551
1/2013, 345
2/2013, 328
3/2013, 438
4/2013, 415
5/2013, 580
6/2013, 963
7/2013, 4212
8/2013, 2875
9/2013, 2416
10/2013, 2947
11/2013, 1724
12/2013, 1677
1/2014, 1923
2/2014, 599
3/2014, 833
4/2014, 1428
5/2014, 862
6/2014, 638
7/2014, 903
8/2014, 1148
9/2014, 738
10/2014, 988
11/2014, 788
12/2014, 423
1/2015, 569
